"title_english","type","source","year","rating","score","members","favorites","studios","genres"
"Assassination Classroom","TV","Manga",2015,"PG-13 - Teens 13 or older",8.08,2108251,30558,"Lerche","Action, Comedy"
"Death Parade","TV","Original",2015,"R - 17+ (violence & profanity)",8.14,1840799,29080,"Madhouse","Drama, Fantasy, Suspense"
"Tokyo Ghoul √A","TV","Manga",2015,"R - 17+ (violence & profanity)",7.02,1830928,10594,"Pierrot","Action, Fantasy, Horror, Suspense"
"JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt","TV","Manga",2015,"R - 17+ (violence & profanity)",8.44,1171420,21305,"David Production","Action, Adventure"
"Kuroko's Basketball 3","TV","Manga",2015,"PG-13 - Teens 13 or older",8.29,793567,5143,"Production I.G","Sports"
"The Testament of Sister New Devil","TV","Light novel",2015,"R+ - Mild Nudity",6.69,705697,2143,"Production IMS","Action, Supernatural, Ecchi"
"Saekano: How to Raise a Boring Girlfriend","TV","Light novel",2015,"PG-13 - Teens 13 or older",7.47,689778,4481,"A-1 Pictures","Comedy, Romance, Ecchi"
"Absolute Duo","TV","Light novel",2015,"R - 17+ (violence & profanity)",6.41,573711,1562,"8bit","Action, Fantasy, Romance, Ecchi"
"Durarara!! x2 Shou","TV","Light novel",2015,"R - 17+ (violence & profanity)",7.97,498111,1005,"Shuka","Action, Mystery, Supernatural"
"Kamisama Kiss Season 2","TV","Manga",2015,"PG-13 - Teens 13 or older",8.23,436980,3526,"TMS Entertainment","Comedy, Romance, Supernatural"
"World Break: Aria of Curse for a Holy Swordsman","TV","Light novel",2015,"R - 17+ (violence & profanity)",6.75,324184,892,"Diomedéa","Action, Fantasy, Romance"
"Aldnoah.Zero","TV","Original",2015,"R - 17+ (violence & profanity)",6.91,317721,755,"A-1 Pictures, TROYCA","Action, Sci-Fi"
"Psycho-Pass: The Movie","Movie","Original",2015,"R - 17+ (violence & profanity)",7.69,282240,555,"Production I.G","Action, Sci-Fi"
"KanColle","TV","Game",2015,"PG-13 - Teens 13 or older",6.82,222480,1339,"Diomedéa","Action, Sci-Fi"
"Beyond the Boundary: I'll Be Here - Past","Movie","Light novel",2015,"PG-13 - Teens 13 or older",7.72,171743,262,"Kyoto Animation","Action, Supernatural"
"Unlimited Fafnir","TV","Light novel",2015,"PG-13 - Teens 13 or older",6.16,162098,175,"Diomedéa","Action, Fantasy, Romance"
"Maria the Virgin Witch","TV","Manga",2015,"R - 17+ (violence & profanity)",7.1,158851,255,"Production I.G","Comedy, Fantasy, Romance"
"Isuca","TV","Manga",2015,"R+ - Mild Nudity",5.96,153364,101,"Arms","Action, Comedy, Romance, Supernatural, Ecchi"
"Yurikuma Arashi","TV","Original",2015,"R - 17+ (violence & profanity)",7.03,106011,764,"SILVER LINK.","Avant Garde, Drama, Fantasy, Girls Love, Ecchi"
"The Rolling Girls","TV","Original",2015,"PG-13 - Teens 13 or older",6.58,92167,215,"Wit Studio","Action, Adventure, Sci-Fi"
