"mal_id","title_english","type","source","airing","year","rating","score","members","favorites","producers","licensors","studios","genres"
24833,"Assassination Classroom","TV","Manga",FALSE,2015,"PG-13 - Teens 13 or older",8.08,2107986,30554,"Dentsu, Studio Hibari, Fuji TV, DAX Production, BS Fuji, Avex Pictures, Shueisha","Funimation","Lerche","Action, Comedy"
28223,"Death Parade","TV","Original",FALSE,2015,"R - 17+ (violence & profanity)",8.14,1840571,29078,"VAP, DAX Production, Nippon Television Network","Funimation","Madhouse","Drama, Fantasy, Suspense"
27899,"Tokyo Ghoul √A","TV","Manga",FALSE,2015,"R - 17+ (violence & profanity)",7.02,1830740,10593,"Marvelous AQL, Shueisha","Funimation","Pierrot","Action, Fantasy, Horror, Suspense"
26055,"JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt","TV","Manga",FALSE,2015,"R - 17+ (violence & profanity)",8.44,1171251,21303,"Yomiko Advertising, Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha","VIZ Media","David Production","Action, Adventure"
24415,"Kuroko's Basketball 3","TV","Manga",FALSE,2015,"PG-13 - Teens 13 or older",8.29,793476,5142,"Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11","","Production I.G","Sports"
23233,"The Testament of Sister New Devil","TV","Light novel",FALSE,2015,"R+ - Mild Nudity",6.69,705620,2143,"Kadokawa Shoten, AT-X, Nippon Columbia, Kadokawa Pictures Japan, KlockWorx, Mobcast","Funimation, Crunchyroll","Production IMS","Action, Supernatural, Ecchi"
23277,"Saekano: How to Raise a Boring Girlfriend","TV","Light novel",FALSE,2015,"PG-13 - Teens 13 or older",7.47,689715,4480,"Aniplex, Dentsu, Fuji TV, Half H.P Studio, Cospa, Fujipacific Music, Good Smile Company, Kyoraku Industrial Holdings, Kansai Telecasting, Fujimi Shobo","Aniplex of America","A-1 Pictures","Comedy, Romance, Ecchi"
25397,"Absolute Duo","TV","Light novel",FALSE,2015,"R - 17+ (violence & profanity)",6.41,573657,1561,"Media Factory, Half H.P Studio, AT-X, feng, Showgate, Kadokawa","Funimation","8bit","Action, Fantasy, Romance, Ecchi"
23199,"Durarara!! x2 Shou","TV","Light novel",FALSE,2015,"R - 17+ (violence & profanity)",7.97,498067,1005,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, ASCII Media Works","Aniplex of America","Shuka","Action, Mystery, Supernatural"
25681,"Kamisama Kiss Season 2","TV","Manga",FALSE,2015,"PG-13 - Teens 13 or older",8.23,436913,3526,"Dentsu, Sotsu","Funimation","TMS Entertainment","Comedy, Romance, Supernatural"
22663,"World Break: Aria of Curse for a Holy Swordsman","TV","Light novel",FALSE,2015,"R - 17+ (violence & profanity)",6.75,324151,892,"Sotsu","Funimation","Diomedéa","Action, Fantasy, Romance"
27655,"Aldnoah.Zero","TV","Original",FALSE,2015,"R - 17+ (violence & profanity)",6.91,317703,755,"Aniplex, Movic, Nitroplus, Houbunsha, MAGES., Tokyo MX, Asahi Broadcasting, BS11","Aniplex of America","A-1 Pictures, TROYCA","Action, Sci-Fi"
21339,"Psycho-Pass: The Movie","Movie","Original",FALSE,2015,"R - 17+ (violence & profanity)",7.69,282214,555,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, Kyoraku Industrial Holdings","Funimation","Production I.G","Action, Sci-Fi"
23317,"Black Butler: Book of Murder","OVA","Manga",FALSE,2015,"R - 17+ (violence & profanity)",8.05,259948,1174,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Asmik Ace, Hakuhodo DY Media Partners, DeNA","Funimation","A-1 Pictures","Action, Mystery, Supernatural"
21511,"KanColle","TV","Game",FALSE,2015,"PG-13 - Teens 13 or older",6.82,222475,1339,"Movic, KlockWorx, flying DOG, DMM.com, Kadokawa Media House, Kadokawa","Funimation, Crunchyroll","Diomedéa","Action, Sci-Fi"
25015,"Beyond the Boundary: I'll Be Here - Past","Movie","Light novel",FALSE,2015,"PG-13 - Teens 13 or older",7.72,171727,262,"Shochiku","Sentai Filmworks","Kyoto Animation","Action, Supernatural"
30300,"High School DxD New OVA","OVA","Light novel",FALSE,2015,"R+ - Mild Nudity",7.26,171349,286,"Genco","","TNK","Action, Comedy, Romance, Supernatural, Ecchi"
24873,"Unlimited Fafnir","TV","Light novel",FALSE,2015,"PG-13 - Teens 13 or older",6.16,162084,175,"TBS, Kodansha, DAX Production, Nippon Columbia, Daiichikosho, RAY, Nichion, NichiNare","","Diomedéa","Action, Fantasy, Romance"
26441,"Maria the Virgin Witch","TV","Manga",FALSE,2015,"R - 17+ (violence & profanity)",7.1,158839,255,"Bandai Visual, Lantis, Kodansha, I Will","Funimation","Production I.G","Comedy, Fantasy, Romance"
25429,"Isuca","TV","Manga",FALSE,2015,"R+ - Mild Nudity",5.96,153351,101,"Kadokawa Shoten, AT-X, DAX Production, KlockWorx, MAGES.","Discotek Media","Arms","Action, Comedy, Romance, Supernatural, Ecchi"
